country,percentbirthrate
Syria,5.32
South Sudan,5.05
Burundi,3.68
Niger,3.65
Angola,3.38
Benin,3.36
Uganda,3.31
"Congo, Democratic Republic of the",3.16
Chad,3.12
Mali,2.97
Zambia,2.93
Tanzania,2.81
Cameroon,2.77
Guinea,2.76
Liberia,2.74
Mozambique,2.58
Burkina Faso,2.58
Sudan,2.55
Nigeria,2.53
Guinea-Bissau,2.52
Togo,2.51
Ethiopia,2.5
Venezuela,2.46
Sierra Leone,2.44
Gabon,2.41
Malawi,2.39
"Congo, Republic of the",2.36
Somalia,2.35
Afghanistan,2.34
Madagascar,2.31
Equatorial Guinea,2.29
Ghana,2.26
Senegal,2.25
Cote d'Ivoire,2.21
Timor-Leste,2.19
Egypt,2.17
Kenya,2.15
Iraq,2.06
Gaza Strip,2.05
Mauritania,2.02
Djibouti,2.01
Pakistan,1.99
British Virgin Islands,1.96
Zimbabwe,1.94
Yemen,1.93
Turks and Caicos Islands,1.91
Oman,1.89
Cayman Islands,1.87
Anguilla,1.84
Namibia,1.83
"Gambia, The",1.82
Rwanda,1.8
Central African Republic,1.79
Libya,1.76
Solomon Islands,1.75
West Bank,1.72
Luxembourg,1.7
Vanuatu,1.67
Belize,1.67
Saudi Arabia,1.62
Guatemala,1.62
Papua New Guinea,1.61
Sao Tome and Principe,1.5
Philippines,1.49
Brunei,1.48
Spratly Islands,1.61
Laos,1.46
Israel,1.45
Tajikistan,1.44
Botswana,1.43
Comoros,1.41
Algeria,1.41
Bolivia,1.39
Marshall Islands,1.37
Cambodia,1.34
Australia,1.31
New Zealand,1.28
Sint Maarten,1.28
Cabo Verde,1.24
Qatar,1.23
South Georgia and South Sandwich Islands,1.28
Haiti,1.22
Honduras,1.22
New Caledonia,1.22
Kuwait,1.2
Antigua and Barbuda,1.17
Aruba,1.17
Ecuador,1.16
Panama,1.16
Paraguay,1.15
Cyprus,1.11
Christmas Island,1.11
Malaysia,1.06
Kiribati,1.05
Costa Rica,1.04
Mexico,1.04
India,1.04
Colombia,1.04
Iran,1.03
Turkmenistan,1.02
Vietnam,1.0
Coral Sea Islands,1.04
Bhutan,0.99
Eritrea,0.98
Ireland,0.97
Iceland,0.97
Bangladesh,0.95
South Africa,0.95
Singapore,0.95
Nicaragua,0.93
Mongolia,0.93
Dominican Republic,0.92
Morocco,0.92
Suriname,0.91
Bahrain,0.9
Kyrgyzstan,0.9
Peru,0.88
Uzbekistan,0.86
Tuvalu,0.85
"Bahamas, The",0.84
Argentina,0.84
Jordan,0.82
Burma,0.81
Indonesia,0.81
Kazakhstan,0.81
Nepal,0.81
Norway,0.8
Macau,0.79
Eswatini,0.77
Canada,0.77
French Polynesia,0.75
Tunisia,0.75
Malta,0.75
Paracel Islands,0.75
Sweden,0.74
Liechtenstein,0.73
Lesotho,0.73
Azerbaijan,0.71
United States,0.7
Turkey,0.7
Lebanon,0.68
Chile,0.68
El Salvador,0.67
Jersey,0.67
Seychelles,0.67
Kosovo,0.67
Brazil,0.65
Switzerland,0.65
Saint Kitts and Nevis,0.64
Sri Lanka,0.63
San Marino,0.63
Faroe Islands,0.62
United Arab Emirates,0.62
Samoa,0.61
Belgium,0.59
Isle of Man,0.55
Monaco,0.53
Mauritius,0.52
Montserrat,0.52
"Korea, North",0.49
United Kingdom,0.48
Fiji,0.46
Denmark,0.44
Nauru,0.42
Palau,0.38
Netherlands,0.37
Bermuda,0.36
Saint Martin,0.36
Grenada,0.35
Curacao,0.33
France,0.33
Ashmore and Cartier Islands,0.32
Austria,0.32
Saint Lucia,0.3
Barbados,0.28
Uruguay,0.26
Finland,0.26
China,0.26
Wallis and Futuna,0.26
"Korea, South",0.26
Thailand,0.26
Guernsey,0.24
Albania,0.24
Hong Kong,0.2
Guyana,0.19
Gibraltar,0.19
Guam,0.18
"Saint Helena, Ascension, and Tristan da Cunha",0.14
Italy,0.09
Dominica,0.07
Jamaica,0.06
Georgia,0.05
Taiwan,0.04
Czechia,0.04
Falkland Islands (Islas Malvinas),0.01
Norfolk Island,0.01
Holy See (Vatican City),0.0
Pitcairn Islands,0.0
Greenland,-0.01
Tokelau,-0.01
Niue,-0.03
Slovenia,-0.03
Svalbard,-0.03
Spain,-0.03
Slovakia,-0.08
Andorra,-0.1
Maldives,-0.12
Saint Vincent and the Grenadines,-0.18
Saint Barthelemy,-0.2
Russia,-0.2
Germany,-0.21
Bosnia and Herzegovina,-0.21
Portugal,-0.23
Cuba,-0.23
Poland,-0.23
Tonga,-0.23
Trinidad and Tobago,-0.28
Hungary,-0.29
Belarus,-0.29
Greece,-0.34
Armenia,-0.35
Northern Mariana Islands,-0.36
Japan,-0.37
Romania,-0.38
Montenegro,-0.4
Virgin Islands,-0.42
Serbia,-0.48
Croatia,-0.48
Ukraine,-0.49
"Micronesia, Federated States of",-0.64
Bulgaria,-0.67
Estonia,-0.69
Lithuania,-1.04
Moldova,-1.1
Latvia,-1.1
Saint Pierre and Miquelon,-1.2
Puerto Rico,-1.46
American Samoa,-2.1
Cook Islands,-2.46
Cocos (Keeling) Islands,-2.46
